system:index,Fecha,PromedioNieve,.geo
0,01/01,52.446562020204475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,09/01,48.14246525599127,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,17/01,43.49461847713039,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,25/01,40.964403089411114,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,02/02,36.81527577003987,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,10/02,35.971099698479854,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,18/02,34.45457619306939,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,26/02,48.81929261363587,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,06/03,34.011186916416925,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,14/03,33.14867348940402,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,22/03,54.17819271042586,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,30/03,52.23683221176805,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,07/04,48.84808084480375,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,15/04,61.466463460637755,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,23/04,88.12184289422642,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,01/05,75.56556618586721,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,09/05,68.9069184173883,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,17/05,92.45607366408386,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,25/05,105.39589277035041,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,02/06,100.99467139832163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,10/06,112.72483069548889,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,18/06,112.04163373448925,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,26/06,121.31876236926958,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,04/07,118.2856624934041,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,12/07,119.88382627522742,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,20/07,124.30622332971808,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,28/07,128.0552548456439,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,05/08,138.78739046309667,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,13/08,128.6048658828876,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,21/08,126.22852315503144,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,29/08,116.88225867169174,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,06/09,132.7202890834199,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,14/09,120.12052103787944,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,22/09,115.60824368472615,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,30/09,108.59513269321025,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,08/10,107.78580242195254,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,16/10,102.50439612250776,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,24/10,93.65865597561356,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,01/11,89.22893892330097,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,09/11,84.37322287740264,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,17/11,81.75262258630484,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,25/11,73.67406013069518,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,03/12,64.55355098851557,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,11/12,58.382436054822,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,19/12,53.613991430456174,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,27/12,48.075629866937994,"{""type"":""MultiPoint"",""coordinates"":[]}"
